ID,Title,Year,Author,Description,latitude,longitude,Region
"43","Questo libro e da imparare giocare a scachi et de le partite (Learn to Play Chess)","1512","Pedro Damiano ","Pedro Damiano, an apothecary from Odemira, Portugal, wrote the first chess book published in Italy in 1512. Titled ""Questa libro eda imparare giocare a scachi et de le partite,"" it covered chess problems, openings, studies, and advice. The book gained popularity, going through eight Italian editions and translations into French, English, and German. It remained the most popular chess book until Ruy Lopez's publication fifty years later. The third edition (1524) featured a famous woodcut of two robed chess players at a chessboard.
Damiano suggested in his book that Xerxes invented the game, explaining the Spanish term ""Ajedrez"" and the Portuguese term ""Xadrez.""
The work was first published in Rome in 1512, and the fourth edition is held by the Cleveland Public Library.","39.3999","-8.2245","Portugal"
"44","Libro de la invencion liberal y arte del juego del Axedrez (Book of the liberal invention and art of the game of chess)","1561","Ruy Lopez de Segura","Ruy Lopez de Segura, a Spanish priest, was a renowned chess player and gained fame as a ""chess champion."" He was highly regarded at the Spanish court of King Philip II. During a visit to Italy in 1560, he competed against and defeated top Italian players, while also coming across Pedro Damiano's book, which he disliked. In response, Lopez decided to create his own book titled ""Book of the Liberal Invention and Art of the Game of Chess."" It included general advice, openings, and detailed analysis of Damiano's games.
In 1574 and 1575, two leading Italian players, di Bona and Boi, traveled to Spain for matches arranged by Philip II. However, towards the end of his life, Lopez's skills declined, and he was defeated.
The book was first published in 1561 in Alcala de Henares, near Madrid, by Andres de Angulo's press. The Cleveland Public Library also possesses a later edition from 1584, published in Venice by Cornelio Arriuabene.","40.4637","-3.7492","Spain"
"46","ll Puttino (The Cherub)","1634","Alessandro Salvio","Giovanni Leonardo di Bona was a Neapolitan lawyer who was considered one of the strongest champions of his day. He was known as ""II Puttino"" because of his small build. He toured Italy and Spain competing against the strongest opponents, including Ruy Lopez. Not much is known about Leonardo, but most of what is known is taken from the work of Salvio in his 1634 romance ll Puttino which mixes fact and fiction.","40.8522","14.2681","Naples"
"47","The Royall Game of Chesse-play","1656","Francis Beale","Gioacchino Greco, the prominent 17th-century Italian chess champion, traveled extensively across Europe, engaging in high-stakes matches. During his visit to France in 1621, he won 5,000 crowns but was later robbed by bandits upon arriving in England. In England, he initiated the practice of selling his chess manuscripts to affluent patrons. In 1624, he returned to France and eventually resided in the court of Philip IV in Madrid. Sadly, he passed away while journeying to the West Indies, leaving his entire fortune to the Jesuit order. Some of Greco's works have survived. Notably, in 1656, Francis Beale published ""The Royall Game of Chesse-play,"" while Moses Hirschel released a German edition in 1784.

""The Royall Game of Chesse-play"" features analytical content, starting with two well-known brief openings: ""The Fool's Mate"" and ""The Scholar's Mate."" Additionally, the book includes dedicatory poems, including one attributed to Richard Lovelace, which appears signed in certain copies and unsigned in others.","41.8719","12.5674","Italy"
"49","Theophilus Thompson's Chess Problems","1873","Theophilus Thompson","Theophilus Thompson's Chess Problems was the first chess book by an African American published in the United States. It was published by the Dubuque Chess Journal in Dubuque, Iowa in 1873. The book contains 100 chess problems with a table of solutions.","37.0902","-95.7129","US"
"50","Iranian Chess Set","12th century",,"This ancient chess set is one of the earliest known worldwide. The pieces have abstract designs: the king is a throne, the queen is a smaller throne, the bishop resembles an elephant with tusklike protrusions, the knight is depicted with a triangular knob as its head, the rook is rectangular with a wedge, and the pawns are faceted hemispheres with knobs.","32.4279","53.6880","Iran"
"52","A Game at Chess","1780","Henry William Bunbury (British, Mildenhall, Suffolk 1750–1811 Keswick, Cumberland)","This painting depicts two women playing chess at a square table within an oval frame. A young man observes their game. All three individuals wear turbans, and they are accompanied by three dogs. The figures are framed by pillars and drapery.","55.3781","-3.4360","UK"
"53","Painting of a Young Woman and Man Playing Shōgi (Japanese Chess)","ca. 1767–69","Suzuki Harunobu (Japanese, 1725–1770)","A young woman watches her male companion make the final moves in a game of shōgi (Japanese chess) next to an andon floor lamp signaling nighttime and a fan indicating summer. The series to which this print belongs links classical poems by thirty-six of the most famous poets of ancient and medieval times with up-to-date images of young men and women in fashionable garb.","36.2048","138.2529","Japan"
"54","Chess Piece of a King","original dated 8th–10th century",,"This is a plaster cast of an Islamic chess piece representing a king, originally dating from the 8th to 10th century. The king is seated on a chair mounted on the back of an elephant, accompanied by soldiers on horseback on either side.","26.3398","17.2688","North Africa"
"55","The Turk",,,"This is a painting of The Turk (1769-1854), which was a chess-playing ""automaton"" or robot designed by Hungarian engineer and inventor Baron Wolfgang von Kempelen.","47.1625","19.5033","Hungary"
"56","The Book of the Courtier",,"Baldassare Castiglione",,"41.8719","12.5674","Italy"
"57","The Morals of Chess",,"Benjamin Franklin",,"55.3781","-3.4360","UK"
"62","the Archinto Manuscript",,,"One significant manuscript, referred to as the Archinto Manuscript (Arch.), dates back to the 14th century and contains 29 chess problems. It was once owned by the Counts Archinto, then the Phillips Library, and now resides in the library of Mr. J.G. White in Cleveland, Ohio. The manuscript, which includes an incomplete text by Jacobus de Cessolis, an Italian Dominican friar and chess writer, is written in Italian handwriting from around 1370-1375.","41.8719","12.5674","Italy"
"64","Questo libro e da imparare giocare a scachi et de le partite",,"Pedro Damiano",,"41.9028","12.4964","Rome"
"65","Scacchia, Ludus (The Game of Chess)",,"Marco Girolamo Vida",,"41.8719","12.5674","Italy"
"66","Repetición de Amores y Arte de Ajedrez (Repetition of Love and the Art of Playing Chess)",,"Luis Ramírez de Lucena",,"40.4637","-3.7492","Spain"
"67","Libro del Ajedrez (Book of Chess)",,"Ruy López",,"40.4637","-3.7492","Spain"
"68","Gesta Romanorum (Deeds of the Romans)",,,,"51.1657","10.4515","Germany"
"69","Scachs d'Amor (Chess of Love)",,,,"46.6034","1.8883","France"
"70","Muruj adh-Dhahab (Meadows of Gold)",,"al-Masudi",,"33.2232","43.6793","Iraq"
